Item Name,Price Lookup Name,Category,Available Quantity,Quantity to Sell,Suggested Price,Source,Already Listed,Current Listed Quantity,Current Vendor Price,Market Low,Market High,Pricing Source,Pricing Notes,Price Checked,Level,Legendary Stars,Legendary Effects
Addictol,Addictol,AID,2,,15,PLAYER,NO,,,,,Community baseline (2026),Common chem quick-sale baseline,2026-07-11,,,
Adrenal Reaction Serum,Adrenal Reaction Serum,AID,1,1,400,STASH,YES,1,2000,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
Backwoodsman 1,Backwoodsman 1,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Backwoodsman 10,Backwoodsman 10,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Backwoodsman 3,Backwoodsman 3,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Backwoodsman 4,Backwoodsman 4,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Backwoodsman 5,Backwoodsman 5,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Backwoodsman 7,Backwoodsman 7,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Backwoodsman 9,Backwoodsman 9,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Berry Mentats,Berry Mentats,AID,6,,50,PLAYER+STASH,NO,,,,,Community baseline (2026),Popular chem baseline,2026-07-11,,,
Bird Bones Serum,Bird Bones Serum,AID,2,2,400,STASH,YES,2,900,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
Bobblehead: Agility,Bobblehead: Agility,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Bobblehead community baseline,2026-07-11,,,
Bobblehead: Big Guns,Bobblehead: Big Guns,AID,2,,50,STASH,NO,,,,,Community baseline (2026),Bobblehead community baseline,2026-07-11,,,
Bobblehead: Caps,Bobblehead: Caps,AID,2,,50,STASH,NO,,,,,Community baseline (2026),Bobblehead community baseline,2026-07-11,,,
Bobblehead: Endurance,Bobblehead: Endurance,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Bobblehead community baseline,2026-07-11,,,
Bobblehead: Energy Weapons,Bobblehead: Energy Weapons,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Bobblehead community baseline,2026-07-11,,,
Bobblehead: Explosive,Bobblehead: Explosive,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Bobblehead community baseline,2026-07-11,,,
Bobblehead: Intelligence,Bobblehead: Intelligence,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Bobblehead community baseline,2026-07-11,,,
